query,lat,lon
"Budapest VII. district, Peterdy street, Hungary",,
"Peterdy street, Budapest, Hungary",,
"Budapest V. district, Vaci street 11/B, Hungary",,
"Vaci street 11/B, Budapest, Hungary",,
"Budapest VIII. district, Diószegi Sámuel street, Hungary",,
"Diószegi Sámuel street, Budapest, Hungary",,
"Budapest V. district, Vaci street, Hungary",,
"Vaci street, Budapest, Hungary",,
"Budapest III. district, Jós street, Hungary",,
"Jós street, Budapest, Hungary",,
"Budapest XIII. district, Szobor street 4., Hungary",,
"Budapest II. district, Mecset street 19., Hungary",,
"Mecset street 19., Budapest, Hungary",,
"Budapest, District XIII, Csanády Street, Hungary",,
"Csanády Street, Budapest, Hungary",,
"Budapest VII. district, Rákóczi street, Hungary",,
"Rákóczi street, Budapest, Hungary",,
"Budapest 6th district, Paulay Ede street, Hungary",,
"Paulay Ede street, Budapest, Hungary",,
"Budapest VI. district, Ó street, Hungary",,
"Budapest VI. district, Nagymező street 35., Hungary",,
"Nagymező street 35., Budapest, Hungary",,
"Budapest IX. district, Tompa street, Hungary",,
"Tompa street, Budapest, Hungary",,
"Budapest, District XIV, Telepes Street, Hungary",,
"Telepes Street, Budapest, Hungary",,
"Budapest I. district, Orom street, Hungary",,
"Orom street, Budapest, Hungary",,
"Budapest VI. district, Mozsár street 9., Hungary",,
"Mozsár street 9., Budapest, Hungary",,
"Budapest VI. district, Vörösmarty street 46., Hungary",,
"Vörösmarty street 46., Budapest, Hungary",,
"Budapest, District XIII, Visegrádi Street, Hungary",,
"Visegrádi Street, Budapest, Hungary",,
"Budapest VI. district, Székely Mihály street, Hungary",,
"Székely Mihály street, Budapest, Hungary",,
"Budapest IX. district, Ferenc körút, Hungary",,
"Budapest I. district, Naphegy street, Hungary",,
"Naphegy street, Budapest, Hungary",,
"Budapest V. district, Hold street, Hungary",,
"Hold street, Budapest, Hungary",,
"Budapest I. district, Bem rakpart 26., Hungary",,
"Budapest VII. district, Dembinszky street, Hungary",,
"Dembinszky street, Budapest, Hungary",,
"Budapest, District XI, Lágymányosi Street 4., Hungary",,
"Budapest, District XIII, Radnóti Miklós Street 4-6., Hungary",,
"Radnóti Miklós Street 4-6., Budapest, Hungary",,
"Budapest VII. district, Király street, Hungary",,
"Budapest II. district, Fillér street, Hungary",,
"Fillér street, Budapest, Hungary",,
"Budapest XI. district, Adony street, Hungary",,
"Adony street, Budapest, Hungary",,
"Budapest, District VII, Dohány Street, Hungary",,
"Budapest VI. district, Dessewffy street 18-20., Hungary",,
"Dessewffy street 18-20., Budapest, Hungary",,
"Budapest 13th district, Szent István Boulevard, Hungary",,
"Szent István Boulevard, Budapest, Hungary",,
"Budapest XIV. district, Fischer István street 121., Hungary",,
"Fischer István street 121., Budapest, Hungary",,
"Budapest V. district, Irányi street, Hungary",,
"Irányi street, Budapest, Hungary",,
"Budapest VI. district, Jókai tér 8., Hungary",,
"Budapest V. district, Steindl Imre street, Hungary",,
"Steindl Imre street, Budapest, Hungary",,
"Budapest, District 13, Vaci Street, Hungary",,
"Vaci Street, Budapest, Hungary",,
"Budapest XIII. district, Hollán Ernő street 3., Hungary",,
"Budapest 6th district, Hajós street, Hungary",,
"Hajós street, Budapest, Hungary",,
"Budapest VI. district, Belső-Terézváros, Hungary",,
"Belső-Terézváros, Budapest, Hungary",,
"Budapest IX. district, Lechner Ödön fasor 1., Hungary",,
"Budapest, District XI, Eszék Street, Hungary",,
"Eszék Street, Budapest, Hungary",,
"Budapest VIII. district, Corvin köz 4., Hungary",,
"Budapest 9th district, Ferenc Boulevard, Hungary",,
"Budapest, District XIV, American Road, Hungary",,
"American Road, Budapest, Hungary",,
"Budapest VII. district, Nefelejcs street, Hungary",,
"Nefelejcs street, Budapest, Hungary",,
"Budapest XI. district, Iglói street, Hungary",,
"Iglói street, Budapest, Hungary",,
"Budapest, District XIV, Ciklámen Street 4., Hungary",,
"Budapest II. district, Frankel Leó street, Hungary",,
"Frankel Leó street, Budapest, Hungary",,
"Budapest VII. district, Dob street 34-36., Hungary",,
"Dob street 34-36., Budapest, Hungary",,
"Budapest XIII. district, Kassák Lajos street, Hungary",,
"Budapest, Óra Street, District XII, Hungary",,
"Budapest IX. district, Ráday street 54., Hungary",,
"Ráday street 54., Budapest, Hungary",,
"Budapest V. district, Régi posta street, Hungary",,
"Régi posta street, Budapest, Hungary",,
"Budapest, District XI, Lágymányosi Street, Hungary",,
"Lágymányosi Street, Budapest, Hungary",,
"Budapest II. district, Csalán street 8., Hungary",,
