price_huf,floor_area_m2,rooms,district,distance_to_center_km,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin
420000,60,3.5,6,1.144478681,0,6,,renovated,1,3,1,,1,0
350000,74,3.5,13,4.26471956,0,12,0,unknown,3,5,0,20.5,0,1
599000,121,3.5,7,1.253962327,3,24,0,renovated,5,7,1,,1,1
495000,81,3,11,3.46709936,24,12,0,novel,1,4,0,20.5,1,1
300000,80,3.5,9,3.262295076,2,12,,renovated,2,3,1,,1,0
400000,77,3.5,9,3.262295076,4,4,1,in good condition,5,6,1,,1,1
200000,30,1,5,0.046426352,3,12,0,in good condition,2,4,0,86,0,1
245000,34,1,13,4.26471956,5,,,new,7,10,0,6,1,1
250000,35,1,8,1.947015705,4,12,,new,7,7,1,,0,1
200000,36,1,13,4.26471956,0,12,0,novel,2,,1,,1,1
225000,40,2,1,1.182039152,1,12,0,renovated,2,2,0,35.5,0,0
350000,44,2,7,1.253962327,4,12,,renovated,7,7,1,,1,1
300000,50,2,9,3.262295076,0,12,,new,7,8,1,,1,1
199000,51,2,3,7.772316604,0,12,,in good condition,7,,1,,0,1
350000,64,3,8,1.947015705,0,12,,new,7,,1,,1,1
380000,65,3,13,4.26471956,24,12,,novel,7,9,0,5,1,1
290000,45,2,13,4.26471956,0,12,0,new,2,9,0,2,1,1
250000,50,2,10,7.367000298,35,12,0,novel,2,2,0,9,1,0
220000,50,2,2,5.141908853,4,12,0,in good condition,2,2,1,,1,0
380000,50,2,12,2.684578715,0,12,0,novel,2,3,0,20.5,1,0
350000,80,3.5,6,1.144478681,0,12,,renovated,3,3,1,,0,0
280000,51,2,2,5.141908853,10,12,0,renovated,2,2,0,61,1,0
320000,54,2,2,5.141908853,0,12,0,renovated,2,3,0,61,0,0
300000,49,2,13,4.26471956,0,12,,novel,8,,0,20.5,1,1
439000,63,3,9,3.262295076,11,12,,novel,8,9,0,7,1,1
780000,70,4,9,3.262295076,0,12,0,renovated,2,4,1,,1,1
350000,73,3,11,3.46709936,0,12,0,novel,2,7,1,,1,1
450000,71,3,11,3.46709936,0,12,,novel,8,8,0,5,1,1
702000,75,3,6,1.144478681,0,12,,renovated,8,,1,,1,1
230000,30,1,14,4.779776174,0,12,0,new,3,5,0,2,1,1
220000,36,1,9,3.262295076,6,12,0,new,3,,1,,1,1
320000,49,2,8,1.947015705,6,12,,new,9,10,1,,1,1
285000,50,2,3,7.772316604,0,12,,renovated,9,,1,,1,1
496000,110,3.5,1,1.182039152,0,12,1,in good condition,0,,1,,0,0
500000,62,3.5,6,1.144478681,0,12,1,renovated,0,4,1,,1,1
315000,50,2,11,3.46709936,0,18,0,new,3,5,0,8,1,1
292500,50,2,9,3.262295076,0,12,0,novel,3,6,1,,1,1
210000,52,2,3,7.772316604,0,12,0,in good condition,3,10,0,61,1,1
260000,55,2,2,5.141908853,0,12,0,renovated,3,3,1,,0,0
360000,63,3,7,1.253962327,0,12,,renovated,0,,1,,0,1
1000000,103,3.5,12,2.684578715,10,12,0,new,1,4,0,6,0,1
350000,61,2,11,3.46709936,0,12,0,new,3,5,0,15,0,1
250000,62,2,14,4.779776174,0,12,0,novel,3,6,0,20.5,0,1
279000,78,3,6,1.144478681,0,12,,renovated,0,,1,,1,0
