price_huf,floor_area_m2,rooms,district,balcony_m2,min_rent_months,internal_height_ord,property_condition_clean,floor_num,building_level_num,year_missing_flag,building_age,aircon_bin,elevator_bin,lat,lon,distance_to_center_km_real,dist_to_metro_km,dist_to_danube_km,is_inner_ring
225000,47,2,8,0,12,0,novel,4,7,0,20.5,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
331500,66,2,1,0,2,1,renovated,1,4,1,,0,0,47.5049274,19.0303372,2.052326418,0.434432719,1.23738062,0
245000,41,2,14,0,12,0,novel,3,7,0,14,0,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
275000,35,1,8,1,12,,novel,3,6,0,9,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
597000,83,2,12,2,12,1,renovated,1,3,0,0,1,0,47.5076328,19.0216697,2.769032645,0.348039098,1.771988362,0
1350000,122,3,5,0,12,1,renovated,2,3,1,,1,0,47.4981703,19.0501848,0.407925751,0.165904352,0.203926461,1
190000,24,1,7,0,12,1,renovated,2,3,1,,1,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
230000,35,1,5,0,12,1,in good condition,2,5,1,,0,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
250000,40,2,8,6,12,,novel,3,5,1,,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
285000,40,1,5,2,12,1,renovated,2,6,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
225000,60,2,3,0,12,0,renovated,3,10,1,,0,1,47.5611995,19.054608,7.038977302,1.947220491,4.710579519,0
475000,90,2.5,13,0,12,0,new,6,8,0,6,1,1,47.5514712,19.0757648,6.146262603,0.323891398,4.410754918,0
280000,47,2,7,0,12,1,in good condition,2,3,1,,1,1,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
300000,58,2,2,0,12,1,renovated,2,3,1,,0,1,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
420000,59,2,13,4,12,1,renovated,2,5,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
300000,59,2,7,0,12,1,renovated,2,3,1,,1,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
292500,49,2,6,0,12,,renovated,3,4,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
290000,60,3,6,0,12,1,renovated,2,3,0,61,1,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
300000,63,2,13,0,12,1,in good condition,2,6,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
360000,65,2,6,0,12,1,renovated,2,5,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
249000,50,2,9,0,12,,renovated,3,8,0,20.5,1,1,47.4563368,19.0830046,5.05976854,2.463154067,2.034736503,1
300000,68,2.5,14,0,12,0,renovated,1,3,1,,1,0,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
649000,67,2.5,1,20,12,0,renovated,2,3,1,,1,0,47.5049274,19.0303372,2.052326418,0.434432719,1.23738062,0
349000,85,3,6,0,12,1,renovated,2,,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
390000,90,3,6,0,9,1,renovated,2,3,1,,0,0,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
295000,54,2,13,0,12,,renovated,3,5,1,,1,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
590000,90,3,6,1,12,1,novel,2,4,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
320000,55,3,6,0,12,,renovated,3,5,1,,1,1,47.5010922,19.0551395,0.356638234,0.131882406,0.404737225,1
438750,106,3,9,0,12,1,renovated,3,5,1,,1,1,47.4852808,19.0717478,1.854973557,0,1.060263832,1
530000,56,3,1,6,12,,renovated,3,,1,,1,1,47.5049274,19.0303372,2.052326418,0.434432719,1.23738062,0
650000,110,5,6,0,1,1,renovated,3,5,1,,1,1,47.4980823,19.0550881,0.043471959,0.055690816,0.437693071,1
440000,112,4,5,5,12,1,renovated,3,3,1,,1,0,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
880000,125,5,1,5,4,1,renovated,3,6,1,,1,1,47.5051971,19.038951,1.490822893,0.205942352,0.701177988,0
180000,30,1,7,0,12,1,renovated,3,3,1,,1,0,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
220000,51,2.5,11,0,12,,renovated,1,,1,,1,0,47.477395,19.0541388,2.282693978,0.508569914,0.527192052,0
250000,65,2,13,0,3,1,renovated,3,4,1,,0,1,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
395000,65,2.5,8,0,12,,renovated,1,5,1,,1,1,47.4862576,19.0778842,2.116406396,0.333497253,1.513376999,1
330000,65,2,7,0,12,,renovated,3,7,1,,1,1,47.5007369,19.0638024,0.692241693,0.403581455,1.04009209,1
420000,70,2.5,2,13,12,0,renovated,3,3,1,,1,0,47.5184135,19.0287884,3.042773925,1.202996853,0.860215167,0
300000,66,2,13,6,12,,renovated,3,5,1,,1,1,47.5153918,19.049402,1.999939527,0.704528474,0.684653784,0
300000,69,2.5,11,0,12,,novel,1,2,0,6,0,0,47.4706064,19.0631939,3.088091576,1.31099856,0.151578427,0
250000,71,2,7,0,12,1,in good condition,3,3,1,,0,0,47.4961024,19.0608682,0.44339207,0.158212628,0.809211055,1
370500,73,3,6,0,12,1,renovated,3,3,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
360000,75,3,13,0,12,1,renovated,3,3,1,,1,0,47.5449692,19.0735283,5.404227601,0.454565413,3.747634488,0
395000,70,3,14,15,12,,new,3,4,0,2,1,1,47.5131532,19.0837164,2.708687438,0.514675704,2.924522428,0
382200,70,3,6,0,1,,novel,3,,1,,1,1,47.5084561,19.0686938,1.531401827,0.102149846,1.689944769,1
702000,75,3,5,0,,1,renovated,3,5,1,,1,1,47.500537,19.0507142,0.469781984,0.32524425,0.080274664,1
300000,80,3,7,0,12,1,in good condition,3,3,1,,1,0,47.4961024,19.0608682,0.44339207,0.158212628,0.809211055,1
